;province;year;gap_ln_gpd;gap_unemp;gdp;unemp;ln_gdp;trend_unemp;trend_ln_gpd;c_unemp;g_gdp
1;ACEH;1986;-0.064435005;0.84854031;29.460.043;23.971.448;10.290.791;15.486.045;10.355.226;;
2;ACEH;1987;-0.043850899;-0.18279922;31.132.713;16.683.953;10.346.014;18.511.945;10.389.865;-0.72874957;55.224.228
3;ACEH;1988;-0.018568993;-0.071465731;33.033.934;20.908.041;10.405.291;21.622.698;1.042.386;0.4224087;5.927.619
4;ACEH;1989;-0.00023365021;0.7223773;34.748.563;32.108.653;10.455.894;2.488.488;10.456.127;11.200.612;50.602.856
5;ACEH;1990;-0.0043287277;-0.5520649;35.634.551;22.837.267;10.481.071;28.357.916;10.485.399;-0.92713857;25.177.517
6;ACEH;1991;0.0076446533;-0.77821875;36.976.934;24.391.286;10.518.049;32.173.474;10.510.405;0.15540205;36.978.672
7;ACEH;1992;0.014125824;-16.852.576;37.947.336;19.555.436;10.543.955;36.408.012;10.529.829;-0.48358506;25.904.953
8;ACEH;1993;0.053199768;-0.095159531;39960.02;40.108.571;10.595.634;41.060.166;10.542.435;20.553.136;51.680.121
9;ACEH;1994;0.047227859;0.91139889;39.908.832;55.074.039;10.594.353;4.596.005;10.547.125;14.965.466;-0.12818058
10;ACEH;1995;0.051358223;0.89599848;39.922.441;59.888.239;10.594.694;50.928.254;10.543.336;0.4814198;0.034095708
11;ACEH;1996;0.074230194;0.88259172;40.344.305;64.702.435;10.605.206;55.876.517;10.530.975;0.4814198;10.511.656
12;ACEH;1997;0.079371452;-0.84120989;39.728.996;52.394.075;10.589.836;60.806.174;10.510.465;-1.230.836;-15.368.909
13;ACEH;1998;0.010622025;-0.36994457;36.083.426;62.107.372;10.493.588;65.806.818;10.482.966;0.97132957;-96.247.702
14;ACEH;1999;-0.01505661;0.47086334;34.043.102;75.592.551;10.435.383;70.883.918;10.450.439;13.485.181;-58.206.239
15;ACEH;2000;-0.078847885;-28.053.498;30.825.531;47.952.461;10.336.099;7.600.596;10.414.947;-27.640.092;-99.284.115
16;ACEH;2001;-0.172019;-0.41347837;27.075.432;77.053.723;10.206.382;81.188.507;10.378.401;29.101.262;-12.971.648
17;ACEH;2002;0.027432442;0.72544003;31.868.035;93.420.982;10.369.359;86.166.582;10.341.927;16.367.257;16.297.672
18;ACEH;2003;0.10377312;-0.098086357;33.146.805;89.653.015;10.408.702;90.633.879;10.304.929;-0.37679645;39.342.871
19;ACEH;2004;0.045838356;-0.089822769;30.119.389;93.458.385;10.312.924;94.356.613;10.267.086;0.38053748;-95.777.264
20;ACEH;2005;-0.011692047;42.930.613;27.376.021;14.002.182;10.217.422;97.091.208;10.229.115;4.656.343;-95.501.595
21;ACEH;2006;0.011076927;0.5726223;26.991.195;10.431.132;10.203.266;985.851;10.192.189;-35.710.497;-14.156.777
22;ACEH;2007;0.0038261414;-0.061904907;25.879.178;98.395.977;10.161.194;99.015.026;10.157.368;-0.59153426;-4.207.202
23;ACEH;2008;-0.036275864;-0.30361748;24.089.779;95.578.814;10.089.543;98.614.988;10.125.819;-0.28171661;-71.651.063
24;ACEH;2009;-0.083339691;-10.485.411;22.368.539;87.127.399;1.001.541;9.761.281;1.009.875;-0.84514183;-7.413.218
25;ACEH;2010;-0.051579475;-12.500.277;22.593.676;83.705.654;10.025.425;96.205.931;10.077.004;-0.34217414;10.014.547
26;ACEH;2011;-0.030261993;-0.4499197;22.704.797;89.987.764;10.030.332;94.486.961;10.060.594;0.62821066;0.49062452
27;ACEH;2012;-0.0014610291;-0.18388462;23.099.131;90.584.631;1.004.755;92.423.477;10.049.011;0.059687104;17.218.766
28;ACEH;2013;0.011687279;11.231.327;23.228.588;10.116.942;10.053.139;89.938.097;10.041.451;10.584.788;0.55887729
29;ACEH;2014;0.011753082;0.3249073;23.129.039;90.184.107;10.048.844;86.935.034;10.037.091;-10.985.311;-0.4294824
30;ACEH;2015;-0.01287365;1.589.282;22.524.311;99.323.626;1.002.235;83.430.805;10.035.224;0.91395199;-264.938
31;ACEH;2016;0.00088500977;-0.37744284;22837.27;75.700.002;10.036.149;7.947.443;10.035.264;-23.623.629;1.379.868
32;ACEH;2017;0.022594452;-0.96209002;23367.18;65.652.966;10.059.088;75.273.867;10.036.493;-10.047.033;22.938.623
33;ACEH;2018;0.04818058;-0.73993111;24.013.811;63.600.001;10.086.385;70.999.312;10.038.204;-0.20529667;27.296.607
34;BALI;1986;-0.022673607;0.2163803;93.495.791;12.010.266;91.430.864;0.98464626;916.576;;
35;BALI;1987;-0.022524834;-0.037387848;10.024.109;10.701.166;92.127.485;11.075.045;92.352.734;-0.1309099;69.661.822
36;BALI;1988;-0.024745941;0.061122298;10.719.446;12.936.487;92.798.147;12.325.264;93.045.607;0.22353208;67.066.412
37;BALI;1989;-0.021352768;0.061391473;11.519.729;14.228.936;93.518.162;13.615.022;93.731.689;0.12924492;72.001.615
38;BALI;1990;-0.01577282;0.20315373;12.389.774;16.999.865;94.246.264;14.968.327;94.403.992;0.27709273;72.810.302
39;BALI;1991;-0.011679649;-0.078121543;13.275.266;15.634.117;94.936.581;16.415.333;95.053.377;-0.1365747;69.031.153
40;BALI;1992;0.0017213821;-0.39756799;14.308.898;14.030.824;95.686.369;18.006.504;95.669.155;-0.16032933;74.979.019
41;BALI;1993;0.02135849;-0.60633206;15.449.036;13.721.173;96.453.018;19.784.493;96.239.433;-0.030965097;76.664.968
42;BALI;1994;0.034319878;0.28565431;16.474.523;24.608.743;97.095.709;217.522;9.675.251;1.088.757;64.268.565
43;BALI;1995;0.060417175;0.17679191;17.681.959;25.619.805;97.803.001;23.851.886;9.719.883;0.10110608;70.729.661
44;BALI;1996;0.084059715;0.057648182;18.793.852;26.630.864;98.412.848;26.054.382;9.757.225;0.10110608;60.984.931
45;BALI;1997;0.09327507;-0.24433851;19.546.338;2.590.481;98.805.428;28.348.196;97.872.677;-0.072605461;39.258.199
46;BALI;1998;0.011516571;0.01964736;18.441.523;30.924.072;982.236;30.727.599;98.108.435;0.50192612;-58.183.136
47;BALI;1999;-0.017315865;-0.82721782;18.258.727;24.890.256;9.812.398;33.162.434;98.297.138;-0.60338163;-0.99617022
48;BALI;2000;-0.019693375;-0.59746718;18510.01;29.649.832;9.826.067;35.624.504;98.457.603;0.47595766;13.668.498
49;BALI;2001;-0.023147583;-0.90683889;18.723.604;28.934.503;98.375.406;38.002.892;98.606.882;-0.07153286;11.473.364
50;BALI;2002;-0.031270027;0.50994539;18858.82;45.226.388;98.447.361;40.126.934;98.760.061;16.291.884;0.71957207
51;BALI;2003;-0.035274506;11.846.662;19.105.229;53.581.939;98.577.175;41.735.277;9.892.992;0.83555532;12.981.308
52;BALI;2004;-0.031380653;0.39533758;19.559.752;4.657.095;98.812.294;42.617.574;99.126.101;-0.70109892;23.511.987
53;BALI;2005;-0.021346092;10.475.364;20.213.943;53.157.296;99.141.283;42.681.932;99.354.744;0.65863466;32.898.602
