date,NO2
2025-06-01,7.802693e-06
2025-06-02,7.802693e-06
2025-06-03,9.936384e-06
2025-06-04,1.4753833e-05
2025-06-05,1.0377482e-05
2025-06-06,9.011269e-06
2025-06-07,1.0208828e-05
2025-06-08,1.14063905e-05
2025-06-09,8.55527e-06
2025-06-10,9.332085e-06
2025-06-11,1.1074867e-05
2025-06-12,8.188627e-06
2025-06-13,7.883346e-06
2025-06-14,8.573538e-06
2025-06-15,9.263732e-06
2025-06-16,1.12718135e-05
2025-06-17,1.3112114e-05
2025-06-18,1.398102e-05
2025-06-19,1.7057657e-05
2025-06-20,1.3169993e-05
2025-06-21,9.282328e-06
2025-06-22,7.718349e-06
2025-06-23,6.154369e-06
2025-06-24,7.328481e-06
2025-06-25,8.263078e-06
2025-06-26,8.543464e-06
2025-06-27,8.867856e-06
2025-06-28,8.483991e-06
2025-06-29,8.308706e-06
2025-06-30,8.133421e-06
2025-07-01,9.4724555e-06
2025-07-02,1.245244e-05
2025-07-03,1.0664543e-05
2025-07-04,8.876646e-06
2025-07-05,9.13888e-06
2025-07-06,9.980297e-06
2025-07-07,1.08217155e-05
2025-07-08,1.2802396e-05
2025-07-09,9.981425e-06
2025-07-10,1.0968932e-05
2025-07-11,8.305223e-06
2025-07-12,7.64168e-06
2025-07-13,7.1402246e-06
2025-07-14,1.210231e-05
2025-07-15,9.887208e-06
2025-07-16,7.826652e-06
2025-07-17,1.1111397e-05
2025-07-18,1.12502585e-05
2025-07-19,8.530127e-06
2025-07-20,8.036444e-06
2025-07-21,7.0424007e-06
2025-07-22,7.242099e-06
2025-07-23,7.781941e-06
2025-07-24,8.717362e-06
2025-07-25,6.2577187e-06
2025-07-26,8.362563e-06
2025-07-27,7.1122054e-06
2025-07-28,9.500578e-06
2025-07-29,9.138824e-06
2025-07-30,7.220159e-06
2025-07-31,8.820192e-06
2025-08-01,4.934915e-06
2025-08-02,6.757318e-06
2025-08-03,7.306525e-06
2025-08-04,1.4575002e-05
2025-08-05,1.4265334e-05
2025-08-06,9.20994e-06
2025-08-07,6.2406943e-06
2025-08-08,1.1366456e-05
2025-08-09,9.4861925e-06
2025-08-10,8.505058e-06
2025-08-11,8.241424e-06
2025-08-12,1.0586571e-05
2025-08-13,8.388525e-06
2025-08-14,1.2266106e-05
2025-08-15,9.189834e-06
2025-08-16,8.507944e-06
2025-08-17,9.405469e-06
2025-08-18,1.0640612e-05
2025-08-19,1.0793294e-05
