,NO2(t-10),NO2(t-9),NO2(t-8),NO2(t-7),NO2(t-6),NO2(t-5),NO2(t-4),NO2(t-3),NO2(t-2),NO2(t-1),NO2(t)
10,7.802693e-06,7.802693e-06,9.936384e-06,1.4753833e-05,1.0377482e-05,9.011269e-06,1.0208828e-05,1.14063905e-05,8.55527e-06,9.332085e-06,1.1074867e-05
11,7.802693e-06,9.936384e-06,1.4753833e-05,1.0377482e-05,9.011269e-06,1.0208828e-05,1.14063905e-05,8.55527e-06,9.332085e-06,1.1074867e-05,8.188627e-06
12,9.936384e-06,1.4753833e-05,1.0377482e-05,9.011269e-06,1.0208828e-05,1.14063905e-05,8.55527e-06,9.332085e-06,1.1074867e-05,8.188627e-06,7.883346e-06
13,1.4753833e-05,1.0377482e-05,9.011269e-06,1.0208828e-05,1.14063905e-05,8.55527e-06,9.332085e-06,1.1074867e-05,8.188627e-06,7.883346e-06,8.573538e-06
14,1.0377482e-05,9.011269e-06,1.0208828e-05,1.14063905e-05,8.55527e-06,9.332085e-06,1.1074867e-05,8.188627e-06,7.883346e-06,8.573538e-06,9.263732e-06
15,9.011269e-06,1.0208828e-05,1.14063905e-05,8.55527e-06,9.332085e-06,1.1074867e-05,8.188627e-06,7.883346e-06,8.573538e-06,9.263732e-06,1.12718135e-05
16,1.0208828e-05,1.14063905e-05,8.55527e-06,9.332085e-06,1.1074867e-05,8.188627e-06,7.883346e-06,8.573538e-06,9.263732e-06,1.12718135e-05,1.3112114e-05
17,1.14063905e-05,8.55527e-06,9.332085e-06,1.1074867e-05,8.188627e-06,7.883346e-06,8.573538e-06,9.263732e-06,1.12718135e-05,1.3112114e-05,1.398102e-05
18,8.55527e-06,9.332085e-06,1.1074867e-05,8.188627e-06,7.883346e-06,8.573538e-06,9.263732e-06,1.12718135e-05,1.3112114e-05,1.398102e-05,1.7057657e-05
19,9.332085e-06,1.1074867e-05,8.188627e-06,7.883346e-06,8.573538e-06,9.263732e-06,1.12718135e-05,1.3112114e-05,1.398102e-05,1.7057657e-05,1.3169993e-05
20,1.1074867e-05,8.188627e-06,7.883346e-06,8.573538e-06,9.263732e-06,1.12718135e-05,1.3112114e-05,1.398102e-05,1.7057657e-05,1.3169993e-05,9.282328e-06
21,8.188627e-06,7.883346e-06,8.573538e-06,9.263732e-06,1.12718135e-05,1.3112114e-05,1.398102e-05,1.7057657e-05,1.3169993e-05,9.282328e-06,7.718349e-06
22,7.883346e-06,8.573538e-06,9.263732e-06,1.12718135e-05,1.3112114e-05,1.398102e-05,1.7057657e-05,1.3169993e-05,9.282328e-06,7.718349e-06,6.154369e-06
23,8.573538e-06,9.263732e-06,1.12718135e-05,1.3112114e-05,1.398102e-05,1.7057657e-05,1.3169993e-05,9.282328e-06,7.718349e-06,6.154369e-06,7.328481e-06
24,9.263732e-06,1.12718135e-05,1.3112114e-05,1.398102e-05,1.7057657e-05,1.3169993e-05,9.282328e-06,7.718349e-06,6.154369e-06,7.328481e-06,8.263078e-06
25,1.12718135e-05,1.3112114e-05,1.398102e-05,1.7057657e-05,1.3169993e-05,9.282328e-06,7.718349e-06,6.154369e-06,7.328481e-06,8.263078e-06,8.543464e-06
26,1.3112114e-05,1.398102e-05,1.7057657e-05,1.3169993e-05,9.282328e-06,7.718349e-06,6.154369e-06,7.328481e-06,8.263078e-06,8.543464e-06,8.867856e-06
27,1.398102e-05,1.7057657e-05,1.3169993e-05,9.282328e-06,7.718349e-06,6.154369e-06,7.328481e-06,8.263078e-06,8.543464e-06,8.867856e-06,8.483991e-06
28,1.7057657e-05,1.3169993e-05,9.282328e-06,7.718349e-06,6.154369e-06,7.328481e-06,8.263078e-06,8.543464e-06,8.867856e-06,8.483991e-06,8.308706e-06
29,1.3169993e-05,9.282328e-06,7.718349e-06,6.154369e-06,7.328481e-06,8.263078e-06,8.543464e-06,8.867856e-06,8.483991e-06,8.308706e-06,8.133421e-06
30,9.282328e-06,7.718349e-06,6.154369e-06,7.328481e-06,8.263078e-06,8.543464e-06,8.867856e-06,8.483991e-06,8.308706e-06,8.133421e-06,9.4724555e-06
31,7.718349e-06,6.154369e-06,7.328481e-06,8.263078e-06,8.543464e-06,8.867856e-06,8.483991e-06,8.308706e-06,8.133421e-06,9.4724555e-06,1.245244e-05
32,6.154369e-06,7.328481e-06,8.263078e-06,8.543464e-06,8.867856e-06,8.483991e-06,8.308706e-06,8.133421e-06,9.4724555e-06,1.245244e-05,1.0664543e-05
33,7.328481e-06,8.263078e-06,8.543464e-06,8.867856e-06,8.483991e-06,8.308706e-06,8.133421e-06,9.4724555e-06,1.245244e-05,1.0664543e-05,8.876646e-06
34,8.263078e-06,8.543464e-06,8.867856e-06,8.483991e-06,8.308706e-06,8.133421e-06,9.4724555e-06,1.245244e-05,1.0664543e-05,8.876646e-06,9.13888e-06
35,8.543464e-06,8.867856e-06,8.483991e-06,8.308706e-06,8.133421e-06,9.4724555e-06,1.245244e-05,1.0664543e-05,8.876646e-06,9.13888e-06,9.980297e-06
36,8.867856e-06,8.483991e-06,8.308706e-06,8.133421e-06,9.4724555e-06,1.245244e-05,1.0664543e-05,8.876646e-06,9.13888e-06,9.980297e-06,1.08217155e-05
37,8.483991e-06,8.308706e-06,8.133421e-06,9.4724555e-06,1.245244e-05,1.0664543e-05,8.876646e-06,9.13888e-06,9.980297e-06,1.08217155e-05,1.2802396e-05
38,8.308706e-06,8.133421e-06,9.4724555e-06,1.245244e-05,1.0664543e-05,8.876646e-06,9.13888e-06,9.980297e-06,1.08217155e-05,1.2802396e-05,9.981425e-06
39,8.133421e-06,9.4724555e-06,1.245244e-05,1.0664543e-05,8.876646e-06,9.13888e-06,9.980297e-06,1.08217155e-05,1.2802396e-05,9.981425e-06,1.0968932e-05
40,9.4724555e-06,1.245244e-05,1.0664543e-05,8.876646e-06,9.13888e-06,9.980297e-06,1.08217155e-05,1.2802396e-05,9.981425e-06,1.0968932e-05,8.305223e-06
41,1.245244e-05,1.0664543e-05,8.876646e-06,9.13888e-06,9.980297e-06,1.08217155e-05,1.2802396e-05,9.981425e-06,1.0968932e-05,8.305223e-06,7.64168e-06
42,1.0664543e-05,8.876646e-06,9.13888e-06,9.980297e-06,1.08217155e-05,1.2802396e-05,9.981425e-06,1.0968932e-05,8.305223e-06,7.64168e-06,7.1402246e-06
43,8.876646e-06,9.13888e-06,9.980297e-06,1.08217155e-05,1.2802396e-05,9.981425e-06,1.0968932e-05,8.305223e-06,7.64168e-06,7.1402246e-06,1.210231e-05
44,9.13888e-06,9.980297e-06,1.08217155e-05,1.2802396e-05,9.981425e-06,1.0968932e-05,8.305223e-06,7.64168e-06,7.1402246e-06,1.210231e-05,9.887208e-06
45,9.980297e-06,1.08217155e-05,1.2802396e-05,9.981425e-06,1.0968932e-05,8.305223e-06,7.64168e-06,7.1402246e-06,1.210231e-05,9.887208e-06,7.826652e-06
46,1.08217155e-05,1.2802396e-05,9.981425e-06,1.0968932e-05,8.305223e-06,7.64168e-06,7.1402246e-06,1.210231e-05,9.887208e-06,7.826652e-06,1.1111397e-05
47,1.2802396e-05,9.981425e-06,1.0968932e-05,8.305223e-06,7.64168e-06,7.1402246e-06,1.210231e-05,9.887208e-06,7.826652e-06,1.1111397e-05,1.12502585e-05
48,9.981425e-06,1.0968932e-05,8.305223e-06,7.64168e-06,7.1402246e-06,1.210231e-05,9.887208e-06,7.826652e-06,1.1111397e-05,1.12502585e-05,8.530127e-06
49,1.0968932e-05,8.305223e-06,7.64168e-06,7.1402246e-06,1.210231e-05,9.887208e-06,7.826652e-06,1.1111397e-05,1.12502585e-05,8.530127e-06,8.036444e-06
50,8.305223e-06,7.64168e-06,7.1402246e-06,1.210231e-05,9.887208e-06,7.826652e-06,1.1111397e-05,1.12502585e-05,8.530127e-06,8.036444e-06,7.0424007e-06
51,7.64168e-06,7.1402246e-06,1.210231e-05,9.887208e-06,7.826652e-06,1.1111397e-05,1.12502585e-05,8.530127e-06,8.036444e-06,7.0424007e-06,7.242099e-06
52,7.1402246e-06,1.210231e-05,9.887208e-06,7.826652e-06,1.1111397e-05,1.12502585e-05,8.530127e-06,8.036444e-06,7.0424007e-06,7.242099e-06,7.781941e-06
53,1.210231e-05,9.887208e-06,7.826652e-06,1.1111397e-05,1.12502585e-05,8.530127e-06,8.036444e-06,7.0424007e-06,7.242099e-06,7.781941e-06,8.717362e-06
